## Genome: hg38
name	chrom	start	end	suggest.pos
MHC	6	29751784	32915731	
A	6	29942470	29945884	
B	6	31353872	31357212	
C	6	31268749	31272136	
E	6	30489406	30494205	
F	6	29723340	29727296	
G	6	29826979	29831122	
H	6	29887760	29891080	
J	6	30005971	30009956	
K	6	29926659	29929839	
L	6	30259562	30266951	
N	6	30351074	30352038	
P	6	29800044	29803079	
S	6	31381569	31382487	
T	6	29896443	29898947	
U	6	29933764	29934880	
V	6	29791753	29792750	
W	6	29955834	29959058	
X	6	31461846	31462490	
Z	6	32896402	32896489	
C4A	6	31982057	32002680	
C4B	6	32014795	32035418	
DMA	6	32948614	32953122	
DMB	6	32934629	32941070	
DOA	6	33004182	33009612	
DOB	6	32812763	32817048	
DRA	6	32439842	32445046	
DRB1	6	32578769	32589836	
DRB3	6	3823889	3837634	-1
DRB4	6	3851133	3866096	-1
DRB5	6	32517374	32530229	
DQA1	6	32637396	32654774	
DQA2	6	32741386	32746887	
DQB1	6	32659464	32666689	
DQB2	6	32756094	32763553	
DPA1	6	33064569	33080778	
DPA2	6	33091482	33093314	
DPA3	6	33131197	33131343	
DPB1	6	33075926	33089696	
DPB2	6	33112516	33129113	
MICA	6	31399784	31415315	
MICB	6	31494277	31511124	
MICC	6	30414713	30419766	
MICD	6	29970372	29975745	
MICE	6	29741457	29749103	
HSPA1A	6	31815514	31817942	
HSPA1B	6	31827735	31830254	
HSPA1L	6	31809619	31821040	
LTA	6	31572099	31574324	
LTB	6	31580558	31582425	
PSMB8	6	32840717	32844935	
PSMB9	6	32854161	32859851	
TAP1	6	32845209	32853971	
TAP2	6	32821833	32838823	
TNF	6	31575567	31578336	
KIR2DL1	19	54769805	54784326	
KIR2DL2	19	177968	192511	-1
KIR2DL3	19	54738509	54753052	
KIR2DL4	19	54803535	54814517	
KIR2DL5A	19	60196	69656	-1
KIR2DL5B	19	166421	175937	-1
KIR2DP1	19	54755023	54767371	
KIR2DS1	19	27414	41434	-1
KIR2DS2	19	194387	208698	-1
KIR2DS3	19	150177	164532	-1
KIR2DS4	19	55344131	55360024	
KIR2DS5	19	37337	51925	-1
KIR3DL1	19	54816438	54830778	
KIR3DL2	19	54850443	54867215	
KIR3DL3	19	54724447	54736536	
KIR3DP1	19	54786355	54790418	
KIR3DS1	19	71573	86270	-1
