## Genome: hg20
name	chrom	start	end
MHC	6	29751784	32915731
A	6	29942470	29945884
B	6	31353872	31357212
C	6	31268749	31272136
E	6	30489406	30494205
F	6	29723340	29727296
G	6	29826979	29831122
DMA	6	32948614	32953122
DMB	6	32934629	32941070
DOA	6	33004182	33009612
DOB	6	32812763	32817048
DRA	6	32439842	32445046
DRB1	6	32578769	32589836
DRB5	6	32517374	32530229
DQA1	6	32637392	32654685
DQB1	6	32659464	32666689
DPA1	6	33064569	33080778
DPB1	6	33075926	33089696
C4A	6	31982057	32002680
C4B	6	32014795	32035418
HSPA1A	6	31815514	31817942
HSPA1B	6	31827735	31830254
HSPA1L	6	31809619	31821040
LTA	6	31572099	31574324
LTB	6	31580558	31582425
TNF	6	31575567	31578336
