# extracted from https://github.com/jrob119/IMGTHLA/blob/Latest/xml/hla.xml.zip
# IPD-IMGT/HLA 3.22.0 database (2015-10-07)
id	name	start	end
A	5' UTR	1	300
A	Exon 1	301	373
A	Intron 1	374	503
A	Exon 2	504	773
A	Intron 2	774	1014
A	Exon 3	1015	1290
A	Intron 3	1291	1869
A	Exon 4	1870	2145
A	Intron 4	2146	2247
A	Exon 5	2248	2364
A	Intron 5	2365	2806
A	Exon 6	2807	2839
A	Intron 6	2840	2981
A	Exon 7	2982	3029
A	Intron 7	3030	3198
A	Exon 8	3199	3203
A	3' UTR	3204	3503
B	5' UTR	1	284
B	Exon 1	285	357
B	Intron 1	358	485
B	Exon 2	486	755
B	Intron 2	756	1000
B	Exon 3	1001	1276
B	Intron 3	1277	1850
B	Exon 4	1851	2126
B	Intron 4	2127	2219
B	Exon 5	2220	2336
B	Intron 5	2337	2777
B	Exon 6	2778	2810
B	Intron 6	2811	2916
B	Exon 7	2917	2960
B	3' UTR	2961	3323
C	5' UTR	1	283
C	Exon 1	284	356
C	Intron 1	357	486
C	Exon 2	487	756
C	Intron 2	757	1002
C	Exon 3	1003	1278
C	Intron 3	1279	1865
C	Exon 4	1866	2141
C	Intron 4	2142	2262
C	Exon 5	2263	2382
C	Intron 5	2383	2821
C	Exon 6	2822	2854
C	Intron 6	2855	2961
C	Exon 7	2962	3009
C	Intron 7	3010	3173
C	Exon 8	3174	3178
C	3' UTR	3179	3349
DPA1	Exon 1	1	100
DPA1	Intron 1	101	3684
DPA1	Exon 2	3685	3930
DPA1	Intron 2	3931	4270
DPA1	Exon 3	4271	4552
DPA1	Intron 3	4553	4766
DPA1	Exon 4	4767	4921
DPB1	Exon 1	1	100
DPB1	Exon 2	101	364
DPB1	Exon 3	365	646
DPB1	Exon 4	647	757
DPB1	Exon 5	758	777
DQA1	Exon 1	1	82
DQA1	Exon 2	83	331
DQA1	Exon 3	332	613
DQA1	Exon 4	614	768
DQB1	5' UTR	1	524
DQB1	Exon 1	525	633
DQB1	Intron 1	634	2091
DQB1	Exon 2	2092	2361
DQB1	Intron 2	2362	4870
DQB1	Exon 3	4871	5152
DQB1	Intron 3	5153	5663
DQB1	Exon 4	5664	5774
DQB1	Intron 4	5775	6238
DQB1	Exon 5	6239	6262
DQB1	Intron 5	6263	6871
DQB1	Exon 6	6872	6885
DQB1	3' UTR	6886	7090
DRB1	5' UTR	1	210
DRB1	Exon 1	211	310
DRB1	Intron 1	311	5582
DRB1	Exon 2	5583	5852
DRB1	Intron 2	5853	8081
DRB1	Exon 3	8082	8363
DRB1	Intron 3	8364	9064
DRB1	Exon 4	9065	9175
DRB1	Intron 4	9176	9662
DRB1	Exon 5	9663	9686
DRB1	Intron 5	9687	10507
DRB1	Exon 6	10508	10521
DRB1	3' UTR	10522	10741
